央视频道,#genre#
欢乐剧场,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8
天津联通IPTV,#genre#
CCTV-1HD,http://192.168.50.222:4022/udp/225.1.1.212:5002
CCTV-2HD,http://192.168.50.222:4022/udp/225.1.1.133:5002
CCTV-3HD,http://192.168.50.222:4022/udp/225.1.1.158:5002
CCTV-4HD,http://192.168.50.222:4022/udp/225.1.1.150:5002
CCTV-5HD,http://192.168.50.222:4022/udp/225.1.1.160:5002
CCTV-5+HD,http://192.168.50.222:4022/udp/225.1.1.121:5002
CCTV-6HD,http://192.168.50.222:4022/udp/225.1.1.195:5002
CCTV-7HD,http://192.168.50.222:4022/udp/225.1.1.138:5002
CCTV-8HD,http://192.168.50.222:4022/udp/225.1.1.196:5002
CCTV-9HD,http://192.168.50.222:4022/udp/225.1.1.119:5002
CCTV-10HD,http://192.168.50.222:4022/udp/225.1.1.140:5002
CCTV-11HD,http://192.168.50.222:4022/udp/225.1.2.192:5002
CCTV-12HD,http://192.168.50.222:4022/udp/225.1.1.142:5002
CCTV-13HD,http://192.168.50.222:4022/udp/225.1.2.193:5002
CCTV-14HD,http://192.168.50.222:4022/udp/225.1.1.144:5002
CCTV-15HD,http://192.168.50.222:4022/udp/225.1.2.194:5002
CCTV-16HD,http://192.168.50.222:4022/udp/225.1.2.237:5002
CCTV-17HD,http://192.168.50.222:4022/udp/225.1.2.52:5002
央视风云音乐HD,http://192.168.50.222:4022/udp/225.1.2.176:5002
央视风云剧场HD,http://192.168.50.222:4022/udp/225.1.2.174:5002
央视怀旧剧场HD,http://192.168.50.222:4022/udp/225.1.2.173:5002
央视风云足球HD,http://192.168.50.222:4022/udp/225.1.2.168:5002
CCTV-4K 高清,http://[2409:8087:2001:20:2800:0:df6e:eb26]:80/ott.mobaibox.com/PLTV/3/224/3221228472/index.m3u8
CCTV-8K 超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]:80/wh7f454c46tw2749731958_105918260/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8?icpid=3&RTS=1681529690&from=40&popid=40&hms_devid=2039&prioritypopid=40&vqe=3
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
CHC家庭影院HD,http://192.168.50.222:4022/udp/225.1.1.213:5002
CHC动作电影HD,http://192.168.50.222:4022/udp/225.1.1.215:5002
CHC高清电影HD,http://192.168.50.222:4022/udp/225.1.1.214:5002
天津卫视HD,http://192.168.50.222:4022/udp/225.1.1.111:5002
天津新闻HD,http://192.168.50.222:4022/udp/225.1.1.130:5002
天津都市HD,http://192.168.50.222:4022/udp/225.1.1.128:5002
天津体育HD,http://192.168.50.222:4022/udp/225.1.1.122:5002
天津文艺HD,http://192.168.50.222:4022/udp/225.1.1.131:5002
天津影视HD,http://192.168.50.222:4022/udp/225.1.1.149:5002
天津科教HD,http://192.168.50.222:4022/udp/225.1.1.129:5002
乐游HD,http://192.168.50.222:4022/udp/225.1.1.145:5002
北京卫视HD,http://192.168.50.222:4022/udp/225.1.1.113:5002
辽宁卫视HD,http://192.168.50.222:4022/udp/225.1.1.154:5002
黑龙江卫视HD,http://192.168.50.222:4022/udp/225.1.1.115:5002
安徽卫视HD,http://192.168.50.222:4022/udp/225.1.1.127:5002
山东卫视HD,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001028/index.m3u8
江苏卫视HD,http://192.168.50.222:4022/udp/225.1.1.126:5002
浙江卫视HD,http://192.168.50.222:4022/udp/225.1.1.112:5002
四川卫视HD,http://192.168.50.222:4022/udp/225.1.1.123:5002
重庆卫视HD,http://192.168.50.222:4022/udp/225.1.1.155:5002
深圳卫视HD,http://192.168.50.222:4022/udp/225.1.1.117:5002
广东卫视HD,http://192.168.50.222:4022/udp/225.1.1.116:5002
河北卫视HD,http://192.168.50.222:4022/udp/225.1.2.27:5002
湖南卫视HD,http://192.168.50.222:4022/udp/225.1.1.114:5002
湖北卫视HD,http://192.168.50.222:4022/udp/225.1.1.147:5002
广西卫视HD,http://192.168.50.222:4022/udp/225.1.2.81:5002
江西卫视HD,http://192.168.50.222:4022/udp/225.1.2.29:5002
河南卫视HD,http://192.168.50.222:4022/udp/225.1.2.61:5002
贵州卫视HD,http://192.168.50.222:4022/udp/225.1.2.28:5002
甘肃卫视HD,http://192.168.50.222:4022/udp/225.1.1.159:5002
海南卫视HD,http://192.168.50.222:4022/udp/225.1.2.82:5002
三沙卫视HD,http://192.168.50.222:4022/udp/225.1.1.182:5002
蓟州HD,http://192.168.50.222:4022/udp/225.1.1.82:5002
欢乐剧场4k,http://192.168.50.222:4022/udp/225.1.1.152:5002
搜狐视频4K,http://192.168.50.222:4022/udp/225.1.2.190:5002
精彩影视HD,http://192.168.50.222:4022/udp/225.1.1.141:5002
都市剧场HD,http://192.168.50.222:4022/udp/225.1.1.146:5002
欢笑剧场HD,http://192.168.50.222:4022/udp/225.1.1.139:5002
天津广播动听885,http://192.168.50.222:4022/udp/225.1.1.180:5002
天津广播音乐,http://192.168.50.222:4022/udp/225.1.1.179:5002
天津广播滨海,http://192.168.50.222:4022/udp/225.1.1.178:5002
天津广播小说,http://192.168.50.222:4022/udp/225.1.1.177:5002
天津广播相声,http://192.168.50.222:4022/udp/225.1.1.176:5002
天津广播交通,http://192.168.50.222:4022/udp/225.1.1.175:5002
天津广播新闻,http://192.168.50.222:4022/udp/225.1.1.173:5002
天津广播经济,http://192.168.50.222:4022/udp/225.1.1.172:5002
